category_slug,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
animation,What was the first full-length animated Disney feature film?,Pinocchio,Snow White and the Seven Dwarfs,Fantasia,Dumbo,1,Snow White released in 1937 was Disneys first animated feature,easy
animation,What year did Beauty and the Beast release?,1989,1991,1993,1995,1,Beauty and the Beast released in 1991 and was first animated film nominated for Best Picture,medium
animation,What type of fish is Nemo?,Blue Tang,Clownfish,Moorish Idol,Yellow Tang,1,Nemo is a clownfish which live among sea anemones,easy
animation,What is the name of the kingdom in Tangled?,Arendelle,Corona,Agrabah,Motunui,1,Corona is where Rapunzel was born as a princess,medium
animation,In Frozen what is Kristoffs reindeers name?,Sven,Olaf,Marshmallow,Duke,0,Sven is Kristoffs loyal reindeer companion,easy
animation,What is the restaurant name in Ratatouille?,Chez Pierre,Gusteaus,La Ratatouille,Paris Cuisine,1,Gusteaus is where Remy helps Linguini cook,medium
animation,In Moana who is the demigod that helps her?,Tamatoa,Te Fiti,Maui,Tui,2,Maui is the shapeshifting demigod voiced by Dwayne Johnson,easy
animation,In Zootopia what is the sloths name at the DMV?,Finnick,Flash,Yax,Clawhauser,1,Flash is the hilariously slow sloth at the DMV,medium
animation,What is the name of Woodys horse in Toy Story?,Bullseye,Spirit,Maximus,Angus,0,Bullseye is Woodys loyal horse who appears in Toy Story 2,easy
animation,Which film features the song Circle of Life?,Tarzan,The Lion King,The Jungle Book,Bambi,1,Circle of Life opens The Lion King as Simba is presented,easy
pixar,What was the first Pixar feature film?,A Bugs Life,Toy Story,Finding Nemo,Monsters Inc,1,Toy Story released in 1995 was the first fully computer-animated feature film,easy
pixar,What is the name of the emotion characters headquarters in Inside Out?,Mind Central,Headquarters,Brain Station,Emotion Center,1,Headquarters is where Joy Sadness and other emotions work,easy
pixar,In Up how many balloons lift Carls house?,Around 10000,Around 20000,Around 50000,Around 100000,1,Pixar calculated it would take about 20622 balloons,hard
pixar,What is the name of the robot in WALL-E that he falls in love with?,AVA,EVE,ELLA,ADA,1,EVE is the sleek probe robot WALL-E falls in love with,easy
pixar,In Coco what is the name of the Land of the Dead holiday?,Day of the Dead,Dia de los Muertos,All Saints Day,Halloween,1,Dia de los Muertos is the Mexican holiday celebrated in Coco,easy
pixar,What company does Mr Incredible work for as a claims adjuster?,Insuricare,SafeCo,Metrolife,SecureAll,0,Insuricare is where Bob Parr works his boring desk job,medium
pixar,In Monsters Inc what powers the city?,Screams,Laughs,Dreams,Tears,0,Monstropolis is powered by childrens screams until they discover laughs work better,easy
pixar,What is the Pizza Planet truck?,A recurring Easter egg in Pixar films,Als delivery truck,A character in Cars,Andys toy,0,The Pizza Planet truck appears in nearly every Pixar film as an Easter egg,medium
star-wars,What is Baby Yodas real name?,Yoda Jr,Grogu,Yaddle,Minch,1,Grogu is the real name of the Child revealed in The Mandalorian,medium
